ast_parse_calls,commit,duration_ms,exit_code,git_show_calls,history_path,impacted_external,impacted_internal,impacted_internal_ratio,impacted_test,impacted_total,llm_fallbacks,llm_success_calls,llm_success_rate,llm_total_calls,llm_total_completion_tokens,llm_total_latency_ms,llm_total_prompt_tokens,mode,num_changed_targets,num_files_changed,num_targets,ok,patch_added_lines,patch_path,patch_removed_lines,patch_total_lines,readme_generated,readme_path,run_dir,runner_ms,stderr,style,subprocess_calls,verifier_checked,verifier_ok
0,e015af4,1912,0,0,/Users/syhe/2026/analyzer/runs/black/batch_run/20260211_160827/e015af4_20260211_160827/history.json,0,0,0.0,0,0,0,,0.0,,,,,llm,0,0,0,True,0,/Users/syhe/2026/analyzer/runs/black/batch_run/20260211_160827/e015af4_20260211_160827/docstring_patch_e015af4.diff,0,0,False,,/Users/syhe/2026/analyzer/runs/black/batch_run/20260211_160827/e015af4_20260211_160827,2194,,google,0,0,True
0,0486c36,1893,0,0,/Users/syhe/2026/analyzer/runs/black/batch_run/20260211_160827/0486c36_20260211_160829/history.json,0,0,0.0,0,0,0,,0.0,,,,,llm,0,0,0,True,0,/Users/syhe/2026/analyzer/runs/black/batch_run/20260211_160827/0486c36_20260211_160829/docstring_patch_0486c36.diff,0,0,False,,/Users/syhe/2026/analyzer/runs/black/batch_run/20260211_160827/0486c36_20260211_160829,2127,,google,0,0,True
0,8889e20,1895,0,0,/Users/syhe/2026/analyzer/runs/black/batch_run/20260211_160827/8889e20_20260211_160831/history.json,0,0,0.0,0,0,0,,0.0,,,,,llm,0,0,0,True,0,/Users/syhe/2026/analyzer/runs/black/batch_run/20260211_160827/8889e20_20260211_160831/docstring_patch_8889e20.diff,0,0,False,,/Users/syhe/2026/analyzer/runs/black/batch_run/20260211_160827/8889e20_20260211_160831,2133,,google,0,0,True
0,722ce55,1967,0,0,/Users/syhe/2026/analyzer/runs/black/batch_run/20260211_160827/722ce55_20260211_160834/history.json,0,0,0.0,0,0,0,,0.0,,,,,llm,0,0,0,True,0,/Users/syhe/2026/analyzer/runs/black/batch_run/20260211_160827/722ce55_20260211_160834/docstring_patch_722ce55.diff,0,0,False,,/Users/syhe/2026/analyzer/runs/black/batch_run/20260211_160827/722ce55_20260211_160834,2206,,google,0,0,True
0,b337466,1899,0,0,/Users/syhe/2026/analyzer/runs/black/batch_run/20260211_160827/b337466_20260211_160836/history.json,0,0,0.0,0,0,0,,0.0,,,,,llm,0,0,0,True,0,/Users/syhe/2026/analyzer/runs/black/batch_run/20260211_160827/b337466_20260211_160836/docstring_patch_b337466.diff,0,0,False,,/Users/syhe/2026/analyzer/runs/black/batch_run/20260211_160827/b337466_20260211_160836,2138,,google,0,0,True
0,61e6911,1867,0,0,/Users/syhe/2026/analyzer/runs/black/batch_run/20260211_160827/61e6911_20260211_160838/history.json,0,0,0.0,0,0,0,,0.0,,,,,llm,0,0,0,True,0,/Users/syhe/2026/analyzer/runs/black/batch_run/20260211_160827/61e6911_20260211_160838/docstring_patch_61e6911.diff,0,0,False,,/Users/syhe/2026/analyzer/runs/black/batch_run/20260211_160827/61e6911_20260211_160838,2105,,google,0,0,True
1,fe875c0,2001,0,1,/Users/syhe/2026/analyzer/runs/black/batch_run/20260211_160827/fe875c0_20260211_160840/history.json,0,8,1.0,0,8,0,,0.0,,,,,llm,0,0,0,True,0,/Users/syhe/2026/analyzer/runs/black/batch_run/20260211_160827/fe875c0_20260211_160840/docstring_patch_fe875c0.diff,0,0,False,,/Users/syhe/2026/analyzer/runs/black/batch_run/20260211_160827/fe875c0_20260211_160840,2240,,google,1,0,True
4,5cdb4b6,1929,0,2,/Users/syhe/2026/analyzer/runs/black/batch_run/20260211_160827/5cdb4b6_20260211_160842/history.json,0,3,1.0,0,3,0,,0.0,,,,,llm,1,1,1,True,11,/Users/syhe/2026/analyzer/runs/black/batch_run/20260211_160827/5cdb4b6_20260211_160842/docstring_patch_5cdb4b6.diff,1,12,False,,/Users/syhe/2026/analyzer/runs/black/batch_run/20260211_160827/5cdb4b6_20260211_160842,2168,,google,2,1,True
0,e35561c,1872,0,0,/Users/syhe/2026/analyzer/runs/black/batch_run/20260211_160827/e35561c_20260211_160844/history.json,0,0,0.0,0,0,0,,0.0,,,,,llm,0,0,0,True,0,/Users/syhe/2026/analyzer/runs/black/batch_run/20260211_160827/e35561c_20260211_160844/docstring_patch_e35561c.diff,0,0,False,,/Users/syhe/2026/analyzer/runs/black/batch_run/20260211_160827/e35561c_20260211_160844,2110,,google,0,0,True
12,14713ac,2116,0,2,/Users/syhe/2026/analyzer/runs/black/batch_run/20260211_160827/14713ac_20260211_160847/history.json,0,6,1.0,0,6,0,,0.0,,,,,llm,5,2,5,True,29,/Users/syhe/2026/analyzer/runs/black/batch_run/20260211_160827/14713ac_20260211_160847/docstring_patch_14713ac.diff,16,45,False,,/Users/syhe/2026/analyzer/runs/black/batch_run/20260211_160827/14713ac_20260211_160847,2352,,google,2,5,True
