ast_parse_calls,commit,duration_ms,exit_code,git_show_calls,history_path,impacted_external,impacted_internal,impacted_internal_ratio,impacted_test,impacted_total,llm_fallbacks,llm_success_calls,llm_success_rate,llm_total_calls,llm_total_completion_tokens,llm_total_latency_ms,llm_total_prompt_tokens,mode,num_changed_targets,num_files_changed,num_targets,ok,patch_added_lines,patch_path,patch_removed_lines,patch_total_lines,readme_generated,readme_path,run_dir,runner_ms,stderr,style,subprocess_calls,verifier_checked,verifier_ok
0,28e7d46,721,0,0,D:\locbench\analyzer\runs\mistune\batch_run\20260210_144330\28e7d46_20260210_144947\history.json,0,0,0.0,0,0,0,0,0.0,0,0,0,0,llm,0,0,0,True,0,D:\locbench\analyzer\runs\mistune\batch_run\20260210_144330\28e7d46_20260210_144947\docstring_patch_28e7d46.diff,0,0,False,,D:\locbench\analyzer\runs\mistune\batch_run\20260210_144330\28e7d46_20260210_144947,1614,,sphinx,0,0,True
0,c82ad09,721,0,0,D:\locbench\analyzer\runs\mistune\batch_run\20260210_144330\c82ad09_20260210_144949\history.json,0,0,0.0,0,0,0,0,0.0,0,0,0,0,llm,0,0,0,True,0,D:\locbench\analyzer\runs\mistune\batch_run\20260210_144330\c82ad09_20260210_144949\docstring_patch_c82ad09.diff,0,0,False,,D:\locbench\analyzer\runs\mistune\batch_run\20260210_144330\c82ad09_20260210_144949,1618,,sphinx,0,0,True
8,a0a0148,85374,0,2,D:\locbench\analyzer\runs\mistune\batch_run\20260210_144330\a0a0148_20260210_144950\history.json,0,3,1.0,0,3,0,4,1.0,4,2856,82925,4009,llm,3,2,3,True,47,D:\locbench\analyzer\runs\mistune\batch_run\20260210_144330\a0a0148_20260210_144950\docstring_patch_a0a0148.diff,0,47,True,D:\locbench\analyzer\runs\mistune\batch_run\20260210_144330\a0a0148_20260210_144950\README_a0a0148_20260210_144950_l03u0r.md,D:\locbench\analyzer\runs\mistune\batch_run\20260210_144330\a0a0148_20260210_144950,86366,,sphinx,3,3,False
0,c856325,634,0,0,D:\locbench\analyzer\runs\mistune\batch_run\20260210_144330\c856325_20260210_145117\history.json,0,0,0.0,0,0,0,0,0.0,0,0,0,0,llm,0,0,0,True,0,D:\locbench\analyzer\runs\mistune\batch_run\20260210_144330\c856325_20260210_145117\docstring_patch_c856325.diff,0,0,False,,D:\locbench\analyzer\runs\mistune\batch_run\20260210_144330\c856325_20260210_145117,1401,,sphinx,0,0,True
3,bd90e44,41943,0,1,D:\locbench\analyzer\runs\mistune\batch_run\20260210_144330\bd90e44_20260210_145118\history.json,0,1,1.0,0,1,0,2,1.0,2,1215,40691,1897,llm,1,1,1,True,13,D:\locbench\analyzer\runs\mistune\batch_run\20260210_144330\bd90e44_20260210_145118\docstring_patch_bd90e44.diff,0,13,True,D:\locbench\analyzer\runs\mistune\batch_run\20260210_144330\bd90e44_20260210_145118\README_bd90e44_20260210_145118_bdzak8.md,D:\locbench\analyzer\runs\mistune\batch_run\20260210_144330\bd90e44_20260210_145118,42752,,sphinx,2,1,True
0,4adac1c,669,0,0,D:\locbench\analyzer\runs\mistune\batch_run\20260210_144330\4adac1c_20260210_145201\history.json,0,0,0.0,0,0,0,0,0.0,0,0,0,0,llm,0,0,0,True,0,D:\locbench\analyzer\runs\mistune\batch_run\20260210_144330\4adac1c_20260210_145201\docstring_patch_4adac1c.diff,0,0,False,,D:\locbench\analyzer\runs\mistune\batch_run\20260210_144330\4adac1c_20260210_145201,1485,,sphinx,0,0,True
5,0516c9e,60930,0,1,D:\locbench\analyzer\runs\mistune\batch_run\20260210_144330\0516c9e_20260210_145202\history.json,0,2,1.0,0,2,0,3,1.0,3,2081,59144,2582,llm,2,1,2,True,37,D:\locbench\analyzer\runs\mistune\batch_run\20260210_144330\0516c9e_20260210_145202\docstring_patch_0516c9e.diff,0,37,True,D:\locbench\analyzer\runs\mistune\batch_run\20260210_144330\0516c9e_20260210_145202\README_0516c9e_20260210_145202_ld3le5.md,D:\locbench\analyzer\runs\mistune\batch_run\20260210_144330\0516c9e_20260210_145202,61756,,sphinx,2,2,True
4,2677e2d,59932,0,2,D:\locbench\analyzer\runs\mistune\batch_run\20260210_144330\2677e2d_20260210_145304\history.json,0,1,1.0,0,1,0,3,1.0,3,1831,58081,4835,llm,1,1,1,True,13,D:\locbench\analyzer\runs\mistune\batch_run\20260210_144330\2677e2d_20260210_145304\docstring_patch_2677e2d.diff,0,13,True,D:\locbench\analyzer\runs\mistune\batch_run\20260210_144330\2677e2d_20260210_145304\README_2677e2d_20260210_145304_xq6lqk.md,D:\locbench\analyzer\runs\mistune\batch_run\20260210_144330\2677e2d_20260210_145304,60763,,sphinx,4,1,True
0,9f4ff6f,630,0,0,D:\locbench\analyzer\runs\mistune\batch_run\20260210_144330\9f4ff6f_20260210_145405\history.json,0,0,0.0,0,0,0,0,0.0,0,0,0,0,llm,0,0,0,True,0,D:\locbench\analyzer\runs\mistune\batch_run\20260210_144330\9f4ff6f_20260210_145405\docstring_patch_9f4ff6f.diff,0,0,False,,D:\locbench\analyzer\runs\mistune\batch_run\20260210_144330\9f4ff6f_20260210_145405,1399,,sphinx,0,0,True
0,f553dbb,618,0,0,D:\locbench\analyzer\runs\mistune\batch_run\20260210_144330\f553dbb_20260210_145406\history.json,0,0,0.0,0,0,0,0,0.0,0,0,0,0,llm,0,0,0,True,0,D:\locbench\analyzer\runs\mistune\batch_run\20260210_144330\f553dbb_20260210_145406\docstring_patch_f553dbb.diff,0,0,False,,D:\locbench\analyzer\runs\mistune\batch_run\20260210_144330\f553dbb_20260210_145406,1400,,sphinx,0,0,True
14,b6d83e8,149055,0,4,D:\locbench\analyzer\runs\mistune\batch_run\20260210_144330\b6d83e8_20260210_145408\history.json,0,6,1.0,0,6,0,6,1.0,6,4634,145528,6055,llm,5,3,5,True,71,D:\locbench\analyzer\runs\mistune\batch_run\20260210_144330\b6d83e8_20260210_145408\docstring_patch_b6d83e8.diff,2,73,True,D:\locbench\analyzer\runs\mistune\batch_run\20260210_144330\b6d83e8_20260210_145408\README_b6d83e8_20260210_145408_zv2i3z.md,D:\locbench\analyzer\runs\mistune\batch_run\20260210_144330\b6d83e8_20260210_145408,149845,,sphinx,5,5,False
