agent_exit_code,ast_parse_calls,commit,duration_ms,git_show_calls,history_path,impacted_external,impacted_internal,impacted_internal_ratio,impacted_test,impacted_total,num_changed_targets,num_files_changed,num_targets,ok,patch_added_lines,patch_path,patch_removed_lines,patch_total_lines,runner_ms,stderr,subprocess_calls,verifier_checked,verifier_ok
0,0,61e6911,2201,0,D:\locbench\analyzer\runs\black\agent_batch\20260126_200702\61e6911_20260126_200702\history.json,0,0,0.0,0,0,0,0,0,True,0,D:\locbench\analyzer\runs\black\agent_batch\20260126_200702\61e6911_20260126_200702\docstring_patch_61e6911.diff,0,0,2294,,2,0,True
0,1,fe875c0,2447,1,D:\locbench\analyzer\runs\black\agent_batch\20260126_200702\fe875c0_20260126_200704\history.json,46,59,0.3224043715846995,78,183,0,0,0,True,0,D:\locbench\analyzer\runs\black\agent_batch\20260126_200702\fe875c0_20260126_200704\docstring_patch_fe875c0.diff,0,0,2551,,3,0,True
0,1,5cdb4b6,2257,1,D:\locbench\analyzer\runs\black\agent_batch\20260126_200702\5cdb4b6_20260126_200707\history.json,43,40,0.449438202247191,6,89,0,0,0,True,0,D:\locbench\analyzer\runs\black\agent_batch\20260126_200702\5cdb4b6_20260126_200707\docstring_patch_5cdb4b6.diff,0,0,2345,,3,0,True
0,0,e35561c,2139,0,D:\locbench\analyzer\runs\black\agent_batch\20260126_200702\e35561c_20260126_200709\history.json,0,0,0.0,0,0,0,0,0,True,0,D:\locbench\analyzer\runs\black\agent_batch\20260126_200702\e35561c_20260126_200709\docstring_patch_e35561c.diff,0,0,2231,,2,0,True
0,5,14713ac,2610,1,D:\locbench\analyzer\runs\black\agent_batch\20260126_200702\14713ac_20260126_200712\history.json,13,186,0.6503496503496503,87,286,2,1,2,True,10,D:\locbench\analyzer\runs\black\agent_batch\20260126_200702\14713ac_20260126_200712\docstring_patch_14713ac.diff,0,10,2704,,3,2,True
0,10,1d233bb,3128,4,D:\locbench\analyzer\runs\black\agent_batch\20260126_200702\1d233bb_20260126_200714\history.json,42,223,0.7193548387096774,45,310,3,2,3,True,21,D:\locbench\analyzer\runs\black\agent_batch\20260126_200702\1d233bb_20260126_200714\docstring_patch_1d233bb.diff,0,21,3226,,6,3,True
0,1,f4b006f,2407,1,D:\locbench\analyzer\runs\black\agent_batch\20260126_200702\f4b006f_20260126_200718\history.json,11,155,0.824468085106383,22,188,0,0,0,True,0,D:\locbench\analyzer\runs\black\agent_batch\20260126_200702\f4b006f_20260126_200718\docstring_patch_f4b006f.diff,0,0,2493,,3,0,True
0,0,115dbcf,2163,0,D:\locbench\analyzer\runs\black\agent_batch\20260126_200702\115dbcf_20260126_200720\history.json,0,0,0.0,0,0,0,0,0,True,0,D:\locbench\analyzer\runs\black\agent_batch\20260126_200702\115dbcf_20260126_200720\docstring_patch_115dbcf.diff,0,0,2255,,2,0,True
0,0,a998a18,2164,0,D:\locbench\analyzer\runs\black\agent_batch\20260126_200702\a998a18_20260126_200722\history.json,0,0,0.0,0,0,0,0,0,True,0,D:\locbench\analyzer\runs\black\agent_batch\20260126_200702\a998a18_20260126_200722\docstring_patch_a998a18.diff,0,0,2252,,2,0,True
1,,6305bf1,,,,,,,,,,,,False,,,,,2206,"Traceback (most recent call last):
  File ""D:\locbench\analyzer\unidiff_extract\agent.py"", line 541, in <module>
    main()
    ~~~~^^
  File ""D:\locbench\analyzer\unidiff_extract\agent.py"", line 353, in main
    _run(
    ~~~~^
        [
        ^
    ...<8 lines>...
        ]
        ^
    )
    ^
  File ""D:\locbench\analyzer\unidiff_extract\agent.py"", line 42, in _run
    out = subprocess.check_output(cmd, cwd=cwd, stderr=subprocess.STDOUT)
  File ""E:\miniconda3\Lib\subprocess.py"", line 472, in check_output
    return run(*popenargs, stdout=PIPE, timeout=timeout, check=True,
           ~~~^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
               **kwargs).stdout
               ^^^^^^^^^
  File ""E:\miniconda3\Lib\subprocess.py"", line 577, in run
    raise CalledProcessError(retcode, process.args,
                             output=stdout, stderr=stderr)
subprocess.CalledProcessError: Command '['python', 'D:\\locbench\\analyzer\\unidiff_extract\\extract_seeds.py', '--repo', 'D:\\locbench\\black', '--commit', '6305bf1', '--out', 'D:\\locbench\\analyzer\\runs\\black\\agent_batch\\20260126_200702\\6305bf1_20260126_200725\\impacted_seeds_6305bf1.json']' returned non-zero exit status 1.
",,,
