agent_exit_code,ast_parse_calls,commit,duration_ms,git_show_calls,history_path,impacted_external,impacted_internal,impacted_internal_ratio,impacted_test,impacted_total,num_changed_targets,num_files_changed,num_targets,ok,patch_added_lines,patch_path,patch_removed_lines,patch_total_lines,runner_ms,subprocess_calls,verifier_checked,verifier_ok
0,0,ad6b2901,2100,0,D:\locbench\analyzer\runs\fastapi\agent_batch\20260126_205121\ad6b2901_20260126_205203\history.json,0,0,0.0,0,0,0,0,0,True,0,D:\locbench\analyzer\runs\fastapi\agent_batch\20260126_205121\ad6b2901_20260126_205203\docstring_patch_ad6b2901.diff,0,0,2210,2,0,True
0,0,463a3a24,2241,0,D:\locbench\analyzer\runs\fastapi\agent_batch\20260126_205121\463a3a24_20260126_205205\history.json,0,0,0.0,0,0,0,0,0,True,0,D:\locbench\analyzer\runs\fastapi\agent_batch\20260126_205121\463a3a24_20260126_205205\docstring_patch_463a3a24.diff,0,0,2362,2,0,True
0,0,db5441eb,2049,0,D:\locbench\analyzer\runs\fastapi\agent_batch\20260126_205121\db5441eb_20260126_205207\history.json,0,0,0.0,0,0,0,0,0,True,0,D:\locbench\analyzer\runs\fastapi\agent_batch\20260126_205121\db5441eb_20260126_205207\docstring_patch_db5441eb.diff,0,0,2160,2,0,True
0,0,536a5baf,2024,0,D:\locbench\analyzer\runs\fastapi\agent_batch\20260126_205121\536a5baf_20260126_205209\history.json,0,0,0.0,0,0,0,0,0,True,0,D:\locbench\analyzer\runs\fastapi\agent_batch\20260126_205121\536a5baf_20260126_205209\docstring_patch_536a5baf.diff,0,0,2135,2,0,True
0,0,0c7f2b66,2080,0,D:\locbench\analyzer\runs\fastapi\agent_batch\20260126_205121\0c7f2b66_20260126_205212\history.json,0,0,0.0,0,0,0,0,0,True,0,D:\locbench\analyzer\runs\fastapi\agent_batch\20260126_205121\0c7f2b66_20260126_205212\docstring_patch_0c7f2b66.diff,0,0,2189,2,0,True
0,0,9fec7268,2039,0,D:\locbench\analyzer\runs\fastapi\agent_batch\20260126_205121\9fec7268_20260126_205214\history.json,0,0,0.0,0,0,0,0,0,True,0,D:\locbench\analyzer\runs\fastapi\agent_batch\20260126_205121\9fec7268_20260126_205214\docstring_patch_9fec7268.diff,0,0,2151,2,0,True
0,0,8fa635c7,2010,0,D:\locbench\analyzer\runs\fastapi\agent_batch\20260126_205121\8fa635c7_20260126_205216\history.json,0,0,0.0,0,0,0,0,0,True,0,D:\locbench\analyzer\runs\fastapi\agent_batch\20260126_205121\8fa635c7_20260126_205216\docstring_patch_8fa635c7.diff,0,0,2121,2,0,True
0,0,fb15bba8,2047,0,D:\locbench\analyzer\runs\fastapi\agent_batch\20260126_205121\fb15bba8_20260126_205218\history.json,0,0,0.0,0,0,0,0,0,True,0,D:\locbench\analyzer\runs\fastapi\agent_batch\20260126_205121\fb15bba8_20260126_205218\docstring_patch_fb15bba8.diff,0,0,2158,2,0,True
0,0,23bcfa09,2043,0,D:\locbench\analyzer\runs\fastapi\agent_batch\20260126_205121\23bcfa09_20260126_205220\history.json,0,0,0.0,0,0,0,0,0,True,0,D:\locbench\analyzer\runs\fastapi\agent_batch\20260126_205121\23bcfa09_20260126_205220\docstring_patch_23bcfa09.diff,0,0,2156,2,0,True
0,0,f317ede2,2066,0,D:\locbench\analyzer\runs\fastapi\agent_batch\20260126_205121\f317ede2_20260126_205222\history.json,0,0,0.0,0,0,0,0,0,True,0,D:\locbench\analyzer\runs\fastapi\agent_batch\20260126_205121\f317ede2_20260126_205222\docstring_patch_f317ede2.diff,0,0,2176,2,0,True
