ast_parse_calls,commit,duration_ms,exit_code,git_show_calls,history_path,impacted_external,impacted_internal,impacted_internal_ratio,impacted_test,impacted_total,llm_fallbacks,llm_success_calls,llm_success_rate,llm_total_calls,llm_total_completion_tokens,llm_total_latency_ms,llm_total_prompt_tokens,mode,num_changed_targets,num_files_changed,num_targets,ok,patch_added_lines,patch_path,patch_removed_lines,patch_total_lines,readme_generated,readme_path,run_dir,runner_ms,stderr,style,subprocess_calls,verifier_checked,verifier_ok
0,e015af4,1937,0,0,/Users/syhe/2026/analyzer/runs/black/batch_run/20260211_175856/e015af4_20260211_175856/history.json,0,0,0.0,0,0,0,,0.0,,,,,llm,0,0,0,True,0,/Users/syhe/2026/analyzer/runs/black/batch_run/20260211_175856/e015af4_20260211_175856/docstring_patch_e015af4.diff,0,0,False,,/Users/syhe/2026/analyzer/runs/black/batch_run/20260211_175856/e015af4_20260211_175856,2233,,google,0,0,True
0,0486c36,1903,0,0,/Users/syhe/2026/analyzer/runs/black/batch_run/20260211_175856/0486c36_20260211_175858/history.json,0,0,0.0,0,0,0,,0.0,,,,,llm,0,0,0,True,0,/Users/syhe/2026/analyzer/runs/black/batch_run/20260211_175856/0486c36_20260211_175858/docstring_patch_0486c36.diff,0,0,False,,/Users/syhe/2026/analyzer/runs/black/batch_run/20260211_175856/0486c36_20260211_175858,2143,,google,0,0,True
0,8889e20,1929,0,0,/Users/syhe/2026/analyzer/runs/black/batch_run/20260211_175856/8889e20_20260211_175901/history.json,0,0,0.0,0,0,0,,0.0,,,,,llm,0,0,0,True,0,/Users/syhe/2026/analyzer/runs/black/batch_run/20260211_175856/8889e20_20260211_175901/docstring_patch_8889e20.diff,0,0,False,,/Users/syhe/2026/analyzer/runs/black/batch_run/20260211_175856/8889e20_20260211_175901,2161,,google,0,0,True
0,722ce55,1925,0,0,/Users/syhe/2026/analyzer/runs/black/batch_run/20260211_175856/722ce55_20260211_175903/history.json,0,0,0.0,0,0,0,,0.0,,,,,llm,0,0,0,True,0,/Users/syhe/2026/analyzer/runs/black/batch_run/20260211_175856/722ce55_20260211_175903/docstring_patch_722ce55.diff,0,0,False,,/Users/syhe/2026/analyzer/runs/black/batch_run/20260211_175856/722ce55_20260211_175903,2164,,google,0,0,True
0,b337466,1915,0,0,/Users/syhe/2026/analyzer/runs/black/batch_run/20260211_175856/b337466_20260211_175905/history.json,0,0,0.0,0,0,0,,0.0,,,,,llm,0,0,0,True,0,/Users/syhe/2026/analyzer/runs/black/batch_run/20260211_175856/b337466_20260211_175905/docstring_patch_b337466.diff,0,0,False,,/Users/syhe/2026/analyzer/runs/black/batch_run/20260211_175856/b337466_20260211_175905,2155,,google,0,0,True
0,61e6911,1945,0,0,/Users/syhe/2026/analyzer/runs/black/batch_run/20260211_175856/61e6911_20260211_175907/history.json,0,0,0.0,0,0,0,,0.0,,,,,llm,0,0,0,True,0,/Users/syhe/2026/analyzer/runs/black/batch_run/20260211_175856/61e6911_20260211_175907/docstring_patch_61e6911.diff,0,0,False,,/Users/syhe/2026/analyzer/runs/black/batch_run/20260211_175856/61e6911_20260211_175907,2181,,google,0,0,True
17,fe875c0,2157,0,1,/Users/syhe/2026/analyzer/runs/black/batch_run/20260211_175856/fe875c0_20260211_175909/history.json,0,8,1.0,0,8,0,,0.0,,,,,llm,8,1,8,True,64,/Users/syhe/2026/analyzer/runs/black/batch_run/20260211_175856/fe875c0_20260211_175909/docstring_patch_fe875c0.diff,35,99,False,,/Users/syhe/2026/analyzer/runs/black/batch_run/20260211_175856/fe875c0_20260211_175909,2396,,google,1,8,True
8,5cdb4b6,2050,0,2,/Users/syhe/2026/analyzer/runs/black/batch_run/20260211_175856/5cdb4b6_20260211_175912/history.json,0,3,1.0,0,3,0,,0.0,,,,,llm,3,2,3,True,46,/Users/syhe/2026/analyzer/runs/black/batch_run/20260211_175856/5cdb4b6_20260211_175912/docstring_patch_5cdb4b6.diff,2,48,False,,/Users/syhe/2026/analyzer/runs/black/batch_run/20260211_175856/5cdb4b6_20260211_175912,2292,,google,2,3,True
0,e35561c,1937,0,0,/Users/syhe/2026/analyzer/runs/black/batch_run/20260211_175856/e35561c_20260211_175914/history.json,0,0,0.0,0,0,0,,0.0,,,,,llm,0,0,0,True,0,/Users/syhe/2026/analyzer/runs/black/batch_run/20260211_175856/e35561c_20260211_175914/docstring_patch_e35561c.diff,0,0,False,,/Users/syhe/2026/analyzer/runs/black/batch_run/20260211_175856/e35561c_20260211_175914,2176,,google,0,0,True
12,14713ac,2144,0,2,/Users/syhe/2026/analyzer/runs/black/batch_run/20260211_175856/14713ac_20260211_175916/history.json,0,6,1.0,0,6,0,,0.0,,,,,llm,5,2,5,True,29,/Users/syhe/2026/analyzer/runs/black/batch_run/20260211_175856/14713ac_20260211_175916/docstring_patch_14713ac.diff,16,45,False,,/Users/syhe/2026/analyzer/runs/black/batch_run/20260211_175856/14713ac_20260211_175916,2381,,google,2,5,True
